




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7709866 Released 2023-03-06
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (594)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of flavonol biosynthetic process (GO:1900386)	3	3	.06	+	46.18	1.81E-04	1.56E-02
regulation of flavonol biosynthetic process (GO:1900384)	5	4	.11	+	36.94	2.31E-05	2.68E-03
cellular response to UV-A (GO:0071492)	4	3	.09	+	34.63	3.11E-04	2.44E-02
response to UV-A (GO:0070141)	4	3	.09	+	34.63	3.11E-04	2.40E-02
positive regulation of flavonoid biosynthetic process (GO:0009963)	12	6	.26	+	23.09	1.32E-06	2.47E-04
anthocyanin-containing compound biosynthetic process (GO:0009718)	25	9	.54	+	16.62	2.66E-08	5.92E-06
regulation of flavonoid biosynthetic process (GO:0009962)	44	15	.95	+	15.74	1.11E-12	5.85E-10
cellular response to blue light (GO:0071483)	41	13	.89	+	14.64	7.65E-11	2.46E-08
anthocyanin-containing compound metabolic process (GO:0046283)	41	13	.89	+	14.64	7.65E-11	2.33E-08
establishment of plastid localization (GO:0051667)	16	5	.35	+	14.43	6.46E-05	6.46E-03
chloroplast relocation (GO:0009902)	16	5	.35	+	14.43	6.46E-05	6.35E-03
regulation of anthocyanin biosynthetic process (GO:0031540)	16	5	.35	+	14.43	6.46E-05	6.24E-03
flavonol biosynthetic process (GO:0051555)	23	7	.50	+	14.05	2.47E-06	4.48E-04
flavone biosynthetic process (GO:0051553)	23	7	.50	+	14.05	2.47E-06	4.34E-04
flavonol metabolic process (GO:0051554)	24	7	.52	+	13.47	3.14E-06	5.19E-04
flavone metabolic process (GO:0051552)	24	7	.52	+	13.47	3.14E-06	5.05E-04
intracellular receptor signaling pathway (GO:0030522)	21	6	.45	+	13.19	1.79E-05	2.26E-03
blue light signaling pathway (GO:0009785)	21	6	.45	+	13.19	1.79E-05	2.21E-03
flavonoid biosynthetic process (GO:0009813)	89	25	1.93	+	12.97	1.49E-18	1.44E-15
response to far red light (GO:0010218)	55	14	1.19	+	11.75	1.68E-10	4.87E-08
chloroplast localization (GO:0019750)	21	5	.45	+	10.99	1.91E-04	1.61E-02
response to UV-B (GO:0010224)	73	17	1.58	+	10.75	6.26E-12	2.59E-09
plastid localization (GO:0051644)	22	5	.48	+	10.50	2.31E-04	1.83E-02
regulation of anthocyanin metabolic process (GO:0031537)	27	6	.58	+	10.26	6.02E-05	6.12E-03
flavonoid metabolic process (GO:0009812)	166	34	3.59	+	9.46	5.48E-21	1.06E-17
cellular response to red or far red light (GO:0071489)	58	11	1.26	+	8.76	2.12E-07	4.24E-05
response to blue light (GO:0009637)	182	33	3.94	+	8.37	5.41E-19	6.27E-16
response to UV (GO:0009411)	126	21	2.73	+	7.70	5.95E-12	2.65E-09
photomorphogenesis (GO:0009640)	89	14	1.93	+	7.26	3.87E-08	8.30E-06
cellular response to light stimulus (GO:0071482)	180	28	3.90	+	7.18	8.19E-15	6.78E-12
regulation of photomorphogenesis (GO:0010099)	39	6	.84	+	7.10	3.57E-04	2.68E-02
red or far-red light signaling pathway (GO:0010017)	53	8	1.15	+	6.97	4.26E-05	4.49E-03
response to red light (GO:0010114)	106	16	2.30	+	6.97	7.03E-09	1.77E-06
