baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G04187	157.867038942915	1.13456678855153	0.259398456751541	4.37383785069412	1.22081071609889e-05	0.00455256239651311
AT1G03982	269.943239481387	-1.14312073466759	0.312582029214782	-3.65702640532202	0.00025515810449485	0.0311159866670947
AT1G04370	149.740842455732	-1.41571252322232	0.379099242006966	-3.73441137926703	0.000188154729039731	0.0266011501808864
AT1G07180	1187.67280273614	-1.27034449912762	0.336315715117086	-3.77723799997081	0.000158577180802988	0.0238616926271443
AT1G09110	29.6584357688944	-1.80156930752486	0.472675259573533	-3.81143136019074	0.000138164422811838	0.0225882507878794
AT1G16400	618.147309241319	1.3472190695265	0.268118665259829	5.02471198049912	5.04188625018909e-07	0.000411569886033418
AT1G05557	273.747876028199	-1.01917264224296	0.25105143522136	-4.05961687231272	4.9153300734958e-05	0.0113942664973982
AT1G20470	248.872665439364	-1.18223800675658	0.235184785878951	-5.02684730365627	4.98609057289478e-07	0.000411569886033418
AT1G23160	876.894642493647	-1.43302258961912	0.316808972861373	-4.52330177607113	6.08823376402416e-06	0.00274835689442291
AT1G27670	989.830466272001	-1.05835098363208	0.219120128624483	-4.83000347925967	1.36530664805983e-06	0.000836445365743513
AT1G30190	415.417138871623	-1.2991007287212	0.341687520821597	-3.80201397346171	0.000143524630280276	0.0230814516358862
AT1G44318	701.965102229385	-1.19843686080088	0.263953601976406	-4.54033152731141	5.61658428411683e-06	0.00258072018240375
AT1G47130	4750.84952918936	-1.11837043768096	0.282881333141452	-3.95349677287377	7.70173031656576e-05	0.0152626836381528
AT1G07493	45.9935227128795	-1.20490860141202	0.346699881338315	-3.47536490857996	0.000510158870407914	0.0472190571743383
AT1G49450	1614.94852870922	-1.23235809077325	0.330145624628263	-3.73277123439349	0.000189384586072298	0.0266287146679033
AT1G07657	396.968968348079	-1.1828995621551	0.209307020597347	-5.65150446831259	1.59049552182604e-08	3.72045820655508e-05
AT1G54950	22.017150619165	1.7111412188755	0.491625320748604	3.48057991860534	0.000500329533691951	0.0468105417580947
AT1G58050	24.9866687262353	-2.13783597986823	0.514940708694622	-4.15161579531681	3.30136154161273e-05	0.00900407872012555
AT1G64110	968.30366333451	-1.55222070159741	0.427456690342224	-3.631293500997	0.000282004251782802	0.0329829609210149
AT1G65390	41565.910028771	-1.05433526658525	0.247701315335591	-4.25647827165075	2.0767220915016e-05	0.00662200738404655
AT1G66100	882.965069105129	-1.57718219082874	0.434051073641104	-3.63363273726823	0.000279458573711849	0.0328344683113223
AT1G67110	64.1583794558541	-1.49652535550512	0.395070831863494	-3.78799251882559	0.000151869421348668	0.0235782852569066
AT1G08947	581.422805001952	1.1834682629421	0.317198544041306	3.73100156092768	0.000190720041819974	0.0266707467177704
AT1G69530	9050.31081337148	1.32255271263727	0.323129749998146	4.09294629369427	4.25926398865287e-05	0.010387238355519
AT1G70420	28009.4938812158	-1.13749148683982	0.299983801835752	-3.79184302578652	0.000149533424679247	0.0235675410075359
AT1G71390	61.2450307343233	1.46485267567946	0.41582644577445	3.52275015349558	0.000427093776307758	0.042595154876647
AT1G73120	1914.51246103631	-1.84302426351959	0.449542206136105	-4.09978026170382	4.13542599099775e-05	0.0102955894074454
AT1G77885	7048.93324849924	-1.04539746531075	0.241592257729191	-4.32711492966208	1.51075142417881e-05	0.00532508834185549
AT1G78390	94.4192464261978	-1.68621320093064	0.414501824183295	-4.06804772030385	4.74086737554851e-05	0.0110897507672944
AT5G07480	21.2758743053271	-2.92005921141235	0.771911205792447	-3.78289522097896	0.00015501468046329	0.0236951630370675
AT5G11140	2076.19110391522	-1.45061597770876	0.281184369847642	-5.1589495479239	2.48339213341211e-07	0.000255600651939308
AT5G16980	3019.52506558643	-1.24532281852864	0.348364942020194	-3.57476504755882	0.000350542544116781	0.0369664352568397
AT5G20240	14679.6355146378	-1.35398974239638	0.329226187268732	-4.1126429025258	3.9115519179756e-05	0.00996516261400299
AT5G24210	11499.0379507103	1.65059666477333	0.425260200978874	3.88138053119937	0.000103865172666449	0.0180578024181107
AT5G04205	47.1597727297929	-1.48535578988335	0.401482848868946	-3.69967432996922	0.000215876310119072	0.0287475136762241
AT5G36140	590.755393247722	2.42273651959389	0.603648782193041	4.01348696636503	5.98283075290078e-05	0.0128286848419075
AT5G45573	99.9030168996802	-1.83895636753671	0.515378773767409	-3.56816473851644	0.000359490463155535	0.0374495915281582
AT5G47175	363.710587883953	-1.26437634039983	0.35320960360849	-3.57967713075354	0.000344018995114302	0.0364277891493255
AT5G47280	81.8110775247218	-1.85360320889249	0.4649151034268	-3.98697137440778	6.69220962721752e-05	0.0138868746708011
